"","x"
"1",NA
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",NA
"8",NA
"9",NA
"10",NA
"11",NA
"12",NA
"13",NA
"14",NA
"15",NA
"16",10.91
"17",8.87
"18",9.59
"19",8.98
"20",8.42
"21",8.65
"22",8.86
"23",8.67
"24",9.05
"25",10.9
"26",10.47
"27",10.32
"28",9.69
"29",9.35
"30",8.32
"31",7.62
"32",7.15
"33",6.85
"34",7.9
"35",8.81
"36",8.94
"37",8.25
"38",7.62
"39",7.97
"40",7.48
"41",6.71
"42",6.64
"43",7.07
"44",6.82
"45",6.87
"46",6.65
"47",5.99
"48",5.97
"49",5.97
"50",5.92
"51",6.07
"52",6.04
"53",6.23
"54",6.22
"55",6.15
"56",5.94
"57",6.85
"58",6.83
"59",6.91
"60",7.28
"61",7.67
"62",7.83
"63",8.01
"64",8.23
"65",8.26
"66",8.28
"67",8.48
"68",8.91
"69",8.82
"70",8.33
"71",8.3
"72",8.7
"73",8.81
"74",8.25
"75",8.51
"76",9.12
"77",7.47
"78",5.84
"79",5.65
"80",8.33
"81",10.21
"82",8.69
"83",7.64
"84",7.91
"85",7.91
"86",7.85
"87",7.9
"88",7.63
"89",7.58
"90",7.8
"91",7.78
"92",6.81
"93",6.81
"94",7.18
"95",7.64
"96",8.23
"97",9.25
"98",9.55
"99",10.09
"100",11.12
"101",11.28
"102",8.65
"103",7.91
"104",7.53
"105",8.43
"106",10.14
"107",12.39
"108",10.94
"109",9.96
"110",9.53
"111",9.19
"112",8.93
"113",8.55
"114",8.41
"115",8.38
"116",8.32
"117",8.03
"118",7.89
"119",8.01
"120",7.84
"121",7.96
"122",8
"123",7.86
"124",7.81
"125",7.97
"126",8.23
"127",8.55
"128",8.62
"129",8.74
"130",8.98
"131",9.2
"132",9.5
"133",9.21
"134",8.82
"135",8.35
"136",7.95
"137",7.75
"138",7.22
"139",7.17
"140",7.14
"141",7.31
"142",7.49
"143",8.02
"144",7.65
"145",7.77
"146",7.54
"147",7.33
"148",7.39
"149",7.06
"150",6.83
"151",6.94
"152",6.28
"153",5.92
"154",5.85
"155",5.71
"156",5.59
"157",5.5
"158",5.3
"159",5.31
"160",5.53
"161",5.39
"162",5.18
"163",5.25
"164",5.34
"165",NA
